Comments,Lane number,Date,business,senior,family,young,PRM,regular,Experience,Time Start Baggage drop off,Number of boxes,Time End Baggage drop off,Time Start WTMD,Time Start WTMD 2,Time Start WTMD 3,Time Start WTMD check,Time End WTMD check,Time Start ETD check,Time End ETD check,Time Start Baggage reclaim,Time End Baggage reclaim,Group size,Time Start Baggage Check,Time End Baggage Check,source_sheet,Time Start Baggage drop off_sec,Time End Baggage drop off_sec,Time Start WTMD_sec,Time Start WTMD 2_sec,Time Start WTMD 3_sec,Time Start WTMD check_sec,Time End WTMD check_sec,Time Start ETD check_sec,Time End ETD check_sec,Time Start Baggage reclaim_sec,Time End Baggage reclaim_sec,Time Start Baggage Check_sec,Time End Baggage Check_sec,checkpoint_time,drop_time,wait_I,collect_time,patdown_time,etd_time,baggage_check_time,has_second_wtmd,has_third_wtmd,has_patdown,has_etd,has_baggage_check,passenger_type
,3,43169,0,1,0,0,0,0,1,144757,2,144930,145140,,,,,145145,145148,145158,145343,3,,,2018_03_10,53277,53370,53500,,,,,53505,53508,53518,53623,,,346,93,130,105,,3,,0,0,0,1,0,senior
,3,43169,0,1,0,0,1,0,1,144757,1,144930,145017,,,145019,145048,,,145158,145343,3,,,2018_03_10,53277,53370,53417,,,53419,53448,,,53518,53623,,,346,93,47,105,29,,,0,0,1,0,0,senior
,3,43169,0,1,0,0,0,0,1,144835,2,145038,145144,,,,,,,145152,145343,3,,,2018_03_10,53315,53438,53504,,,,,,,53512,53623,,,308,123,66,111,,,,0,0,0,0,0,senior
,3,43169,0,0,0,1,0,0,1,144855,3,145042,145200,,,,,,,145247,145438,2,,,2018_03_10,53335,53442,53520,,,,,,,53567,53678,,,343,107,78,111,,,,0,0,0,0,0,young
Only ETD check on pax,3,43169,0,0,0,1,0,0,1,144907,2,145044,145203,,,,,145211,145217,145324,145448,2,,,2018_03_10,53347,53444,53523,,,,,53531,53537,53604,53688,,,341,97,79,84,,6,,0,0,0,1,0,young
,3,43169,0,1,0,0,0,0,0,145043,2,145203,145307,,,145311,145329,,,145411,145426,10,,,2018_03_10,53443,53523,53587,,,53591,53609,,,53651,53666,,,223,80,64,15,18,,,0,0,1,0,0,senior
2x wtmd (bracelet) 145403,3,43169,0,1,0,0,0,0,0,145047,2,145251,145336,145403,,,,,,145415,145538,10,,,2018_03_10,53447,53571,53616,53643,,,,,,53655,53738,,,291,124,45,83,,,,1,0,0,0,0,senior
WTMD bracelet + shoes (5438),3,43169,0,1,0,0,0,0,1,145103,3,145309,145414,145438,,,,,,145501,145604,2,,,2018_03_10,53463,53589,53654,53678,,,,,,53701,53764,,,301,126,65,63,,,,1,0,0,0,0,senior
WTMD shoes (5503),3,43169,0,1,0,0,0,0,1,145229,1,145328,145446,145503,,,,,,145510,145609,2,,,2018_03_10,53549,53608,53686,53703,,,,,,53710,53769,,,220,59,78,59,,,,1,0,0,0,0,senior
"2x wtmd (shoes, bracelets) 145546",3,43169,0,1,0,0,0,0,0,145313,3,145520,145522,145546,,145606,145623,,,145631,145728,10,,,2018_03_10,53593,53720,53722,53746,,53766,53783,,,53791,53848,,,255,127,2,57,17,,,1,0,1,0,0,senior
,3,43169,0,1,0,0,0,0,0,145337,2,145533,145604,,,,,,,145612,145648,10,,,2018_03_10,53617,53733,53764,,,,,,,53772,53808,,,191,116,31,36,,,,0,0,0,0,0,senior
Purple gang,3,43169,0,1,0,0,0,0,0,145355,2,145618,145647,,,,,,,145657,145838,10,,,2018_03_10,53635,53778,53807,,,,,,,53817,53918,,,283,143,29,101,,,,0,0,0,0,0,senior
"Purple gang, baggage reclaim outside queue",3,43169,0,1,0,0,0,0,0,145422,2,145619,145659,,,,,,,145714,145744,10,,,2018_03_10,53662,53779,53819,,,,,,,53834,53864,,,202,117,40,30,,,,0,0,0,0,0,senior
,3,43169,0,1,0,0,0,0,1,145531,1,145700,145705,,,,,,,145742,145812,2,,,2018_03_10,53731,53820,53825,,,,,,,53862,53892,,,161,89,5,30,,,,0,0,0,0,0,senior
,3,43169,0,0,0,0,0,1,1,145610,1,145724,145727,,,,,145732,145741,145757,145845,2,,,2018_03_10,53770,53844,53847,,,,,53852,53861,53877,53925,,,155,74,3,48,,9,,0,0,0,1,0,regular
,3,43169,0,0,0,1,0,0,1,145633,1,145716,145732,,,,,,,145744,145759,1,,,2018_03_10,53793,53836,53852,,,,,,,53864,53879,,,86,43,16,15,,,,0,0,0,0,0,young
,3,43169,0,1,0,0,0,1,0,145644,2,145742,145748,,,,,,,145830,145923,2,145810,145830,2018_03_10,53804,53862,53868,,,,,,,53910,53963,53890,53910,159,58,6,53,,,20,0,0,0,0,1,senior
,3,43169,0,1,0,0,0,1,0,145706,3,145832,145837,,,,,,,145852,150005,2,,,2018_03_10,53826,53912,53917,,,,,,,53932,54005,,,179,86,5,73,,,,0,0,0,0,0,senior
father+infant; takes boxes with him,3,43169,0,0,1,0,0,1,0,145757,2,145937,145942,,,,,,,150022,150224,2,,,2018_03_10,53877,53977,53982,,,,,,,54022,54144,,,267,100,5,122,,,,0,0,0,0,0,family
mother+infant,3,43169,0,0,1,0,0,1,1,145800,2,145843,145853,,,,,,,150000,150133,2,,,2018_03_10,53880,53923,53933,,,,,,,54000,54093,,,213,43,10,93,,,,0,0,0,0,0,family
2x wtmd (watch) 150008; r=ray boxes with them,3,43169,0,0,0,1,0,0,1,145907,2,145952,145957,150008,,150012,150043,,,150121,150132,1,,,2018_03_10,53947,53992,53997,54008,,54012,54043,,,54081,54092,,,145,45,5,11,31,,,1,0,1,0,0,young
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,145938,1,150002,150014,,,,,,,150125,150132,2,,,2018_03_10,53978,54002,54014,,,,,,,54085,54092,,,114,24,12,7,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,1,145956,2,150025,150030,,,,,,,150135,150201,2,,,2018_03_10,53996,54025,54030,,,,,,,54095,54121,,,125,29,5,26,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,0,150001,2,150046,150052,,,,,,,150135,150225,2,,,2018_03_10,54001,54046,54052,,,,,,,54095,54145,,,144,45,6,50,,,,0,0,0,0,0,regular
,3,43169,0,0,0,1,0,0,1,150007,2,150116,150132,,,,,,,150209,150303,2,,,2018_03_10,54007,54076,54092,,,,,,,54129,54183,,,176,69,16,54,,,,0,0,0,0,0,young
,3,43169,0,0,0,1,0,0,1,150018,2,150116,150136,,,,,,,150218,150303,2,,,2018_03_10,54018,54076,54096,,,,,,,54138,54183,,,165,58,20,45,,,,0,0,0,0,0,young
"Purple gang, WTMD twice, belt and rings (0320), baggage reclaim outside queue (in two tries -.-)",3,43169,0,1,0,0,0,0,0,150101,2,150222,150230,150320,,150340,150401,,,150405,150457,10,,,2018_03_10,54061,54142,54150,54200,,54220,54241,,,54245,54297,,,236,81,8,52,21,,,1,0,1,0,0,senior
"Purple gang, baggage reclaim outside queue",3,43169,0,1,0,0,0,0,0,150101,2,150228,150321,,,150402,150419,,,150422,150439,10,,,2018_03_10,54061,54148,54201,,,54242,54259,,,54262,54279,,,218,87,53,17,17,,,0,0,1,0,0,senior
"2x wtmd (watch, bracelet) 150435",3,43169,0,1,0,0,0,0,0,150137,1,150231,150406,150435,,150442,150525,,,150542,150625,10,,,2018_03_10,54097,54151,54246,54275,,54282,54325,,,54342,54385,,,288,54,95,43,43,,,1,0,1,0,0,senior
2x wtmd (shoes) 150549,3,43169,0,1,0,0,0,0,0,150202,1,150250,150445,150549,,,,,,150619,150637,10,,,2018_03_10,54122,54170,54285,54349,,,,,,54379,54397,,,275,48,115,18,,,,1,0,0,0,0,senior
,3,43169,0,0,0,0,0,1,1,150220,2,150649,150709,,,,,,,150755,150920,1,,,2018_03_10,54140,54409,54429,,,,,,,54475,54560,,,420,269,20,85,,,,0,0,0,0,0,regular
,3,43169,0,1,0,0,0,0,0,150225,2,150348,150512,,,,,,,150520,150648,1,,,2018_03_10,54145,54228,54312,,,,,,,54320,54408,,,263,83,84,88,,,,0,0,0,0,0,senior
Baggage reclaim outside queue,3,43169,0,0,0,1,0,0,1,150235,1,150338,150518,,,,,,,150519,150524,2,,,2018_03_10,54155,54218,54318,,,,,,,54319,54324,,,169,63,100,5,,,,0,0,0,0,0,young
,3,43169,0,0,0,1,0,0,1,150254,2,150343,150520,,,,,,,150523,150558,2,,,2018_03_10,54174,54223,54320,,,,,,,54323,54358,,,184,49,97,35,,,,0,0,0,0,0,young
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,150306,1,150415,150523,,,,,,,150532,150541,2,,,2018_03_10,54186,54255,54323,,,,,,,54332,54341,,,155,69,68,9,,,,0,0,0,0,0,regular
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,150315,1,150411,150527,,,,,,,150540,150541,2,,,2018_03_10,54195,54251,54327,,,,,,,54340,54341,,,146,56,76,1,,,,0,0,0,0,0,regular
,3,43169,0,1,0,0,0,0,1,150349,2,150434,150529,,,,,150539,150547,150615,150738,2,,,2018_03_10,54229,54274,54329,,,,,54339,54347,54375,54458,,,229,45,55,83,,8,,0,0,0,1,0,senior
"Woman + dog, 2x WTMD (shoes, 0615)",3,43169,0,0,0,0,0,1,0,150402,2,150438,150553,150615,,,,150631,150638,150647,150748,2,,,2018_03_10,54242,54278,54353,54375,,,,54391,54398,54407,54468,,,226,36,75,61,,7,,1,0,0,1,0,regular
luggage etd,3,43169,1,0,0,0,0,1,0,150413,2,150505,150635,,,,,150727,150734,150656,150924,1,,,2018_03_10,54253,54305,54395,,,,,54447,54454,54416,54564,,,311,52,90,148,,7,,0,0,0,1,0,business
,3,43169,0,0,0,0,0,1,1,150447,2,150518,150704,,,,,,,150707,150756,1,,,2018_03_10,54287,54318,54424,,,,,,,54427,54476,,,189,31,106,49,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,1,150502,1,150515,150709,,,,,,,150721,150745,1,,,2018_03_10,54302,54315,54429,,,,,,,54441,54465,,,163,13,114,24,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,1,150517,1,150557,150718,,,,,,,150750,150804,2,,,2018_03_10,54317,54357,54438,,,,,,,54470,54484,,,167,40,81,14,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,1,150518,1,150610,150721,,,,,,,150750,150810,2,,,2018_03_10,54318,54370,54441,,,,,,,54470,54490,,,172,52,71,20,,,,0,0,0,0,0,regular
,3,43169,1,0,0,0,0,1,1,150615,2,150720,150738,,,,,,,150816,150924,1,,,2018_03_10,54375,54440,54458,,,,,,,54496,54564,,,189,65,18,68,,,,0,0,0,0,0,business
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,150647,1,150726,150818,,,,,,,150826,150835,2,,,2018_03_10,54407,54446,54498,,,,,,,54506,54515,,,108,39,52,9,,,,0,0,0,0,0,regular
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,150651,1,150744,150826,,,,,,,150836,150847,2,,,2018_03_10,54411,54464,54506,,,,,,,54516,54527,,,116,53,42,11,,,,0,0,0,0,0,regular
,3,43169,0,1,0,0,0,0,1,150729,2,150752,150830,,,,,,,150849,150910,4,,,2018_03_10,54449,54472,54510,,,,,,,54529,54550,,,101,23,38,21,,,,0,0,0,0,0,senior
Bag ETD 0905-0939,3,43169,0,1,0,0,0,0,1,150753,2,150823,150834,,,,,150839,150844,150940,151023,4,,,2018_03_10,54473,54503,54514,,,,,54519,54524,54580,54623,,,150,30,11,43,,5,,0,0,0,1,0,senior
,3,43169,0,1,0,0,0,0,1,150812,2,150843,150848,,,,,,,150925,151008,4,,,2018_03_10,54492,54523,54528,,,,,,,54565,54608,,,116,31,5,43,,,,0,0,0,0,0,senior
,3,43169,0,1,0,0,0,0,1,150815,2,150852,150859,,,,,,,150930,151011,4,,,2018_03_10,54495,54532,54539,,,,,,,54570,54611,,,116,37,7,41,,,,0,0,0,0,0,senior
,3,43169,0,0,0,0,0,1,1,150846,2,150957,151000,,,,,,,151005,151148,2,,,2018_03_10,54526,54597,54600,,,,,,,54605,54708,,,182,71,3,103,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,1,150854,2,151000,151005,,,,,,,151005,151210,2,,,2018_03_10,54534,54600,54605,,,,,,,54605,54730,,,196,66,5,125,,,,0,0,0,0,0,regular
,3,43169,1,0,0,0,0,1,1,150901,3,151001,151009,,,,,,,151034,151231,1,151112,151141,2018_03_10,54541,54601,54609,,,,,,,54634,54751,54672,54701,210,60,8,117,,,29,0,0,0,0,1,business
Baggage reclaim outside queue,3,43169,1,0,0,0,0,1,1,150917,1,151020,151024,,,,,,,151204,151210,1,,,2018_03_10,54557,54620,54624,,,,,,,54724,54730,,,173,63,4,6,,,,0,0,0,0,0,business
,3,43169,0,0,0,0,0,1,1,150942,2,151026,151034,,,,,,,151211,151534,1,,,2018_03_10,54582,54626,54634,,,,,,,54731,54934,,,352,44,8,203,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,1,151012,1,151042,151046,,,151050,151116,,,151223,151245,1,,,2018_03_10,54612,54642,54646,,,54650,54676,,,54743,54765,,,153,30,4,22,26,,,0,0,1,0,0,regular
,3,43169,0,0,0,1,0,0,0,151015,2,151132,151138,,,,,,,151234,151357,2,,,2018_03_10,54615,54692,54698,,,,,,,54754,54837,,,222,77,6,83,,,,0,0,0,0,0,young
,3,43169,0,0,0,1,0,0,0,151038,2,151225,151229,,,,,,,151244,151359,2,,,2018_03_10,54638,54745,54749,,,,,,,54764,54839,,,201,107,4,75,,,,0,0,0,0,0,young
WTMD triggered on shoes > pat-down,3,43169,0,1,0,0,0,1,0,151153,2,151224,151238,,,151323,151340,,,151343,151430,1,,,2018_03_10,54713,54744,54758,,,54803,54820,,,54823,54870,,,157,31,14,47,17,,,0,0,1,0,0,senior
,3,43169,1,0,0,0,0,1,1,151216,2,151252,151342,,,,,,,151346,151406,1,,,2018_03_10,54736,54772,54822,,,,,,,54826,54846,,,110,36,50,20,,,,0,0,0,0,0,business
,3,43169,0,0,0,1,0,0,1,151218,3,151329,151349,,,,,,,151406,151540,1,,,2018_03_10,54738,54809,54829,,,,,,,54846,54940,,,202,71,20,94,,,,0,0,0,0,0,young
,3,43169,0,1,0,0,0,0,0,151237,2,151422,151425,,,,,,,151438,151556,1,,,2018_03_10,54757,54862,54865,,,,,,,54878,54956,,,199,105,3,78,,,,0,0,0,0,0,senior
,3,43169,0,0,0,0,0,1,1,151324,1,151432,151438,,,,,,,151541,151549,3,,,2018_03_10,54804,54872,54878,,,,,,,54941,54949,,,145,68,6,8,,,,0,0,0,0,0,regular
baggage etd,3,43169,0,0,0,0,0,1,1,151328,2,151425,151443,,,,,151554,151641,151554,151700,3,,,2018_03_10,54808,54865,54883,,,,,54954,55001,54954,55020,,,212,57,18,66,,47,,0,0,0,1,0,regular
,3,43169,0,0,0,0,0,1,1,151330,2,151425,151455,,,,,,,151605,151620,3,,,2018_03_10,54810,54865,54895,,,,,,,54965,54980,,,170,55,30,15,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,1,151418,2,151549,151553,,,,,,,151606,151706,2,,,2018_03_10,54858,54949,54953,,,,,,,54966,55026,,,168,91,4,60,,,,0,0,0,0,0,regular
Baggage reclaim outside queue,3,43169,0,0,0,0,0,1,0,151451,1,151602,151606,,,,,,,151623,151625,2,,,2018_03_10,54891,54962,54966,,,,,,,54983,54985,,,94,71,4,2,,,,0,0,0,0,0,regular
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,151504,1,151616,151620,,,,,,,151628,151651,2,,,2018_03_10,54904,54976,54980,,,,,,,54988,55011,,,107,72,4,23,,,,0,0,0,0,0,regular
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,151541,2,151614,151617,,,,,151712,151719,151738,151747,2,,,2018_03_10,54941,54974,54977,,,,,55032,55039,55058,55067,,,126,33,3,9,,7,,0,0,0,1,0,regular
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,151542,1,151628,151711,,,,,,,151735,151742,2,,,2018_03_10,54942,54988,55031,,,,,,,55055,55062,,,120,46,43,7,,,,0,0,0,0,0,regular
2x wtmd (shoes) 151737; takes x-ray boxes with her,3,43169,0,0,0,0,0,1,1,151550,1,151624,151715,151737,,,,,,151749,151755,2,,,2018_03_10,54950,54984,55035,55057,,,,,,55069,55075,,,125,34,51,6,,,,1,0,0,0,0,regular
"WTMD twice, shoes",3,43169,0,0,0,0,0,1,0,151611,2,151717,151808,,,,,151846,151906,151823,151938,2,,,2018_03_10,54971,55037,55088,,,,,55126,55146,55103,55178,,,207,66,51,75,,20,,0,0,0,1,0,regular
,3,43169,0,0,0,0,0,1,0,151628,1,151655,151825,,,,,,,151830,151938,2,,,2018_03_10,54988,55015,55105,,,,,,,55110,55178,,,190,27,90,68,,,,0,0,0,0,0,regular
takes x-ray boxes with him,3,43169,0,1,0,0,0,0,0,151629,1,151748,151827,,,,,,,151853,151855,2,,,2018_03_10,54989,55068,55107,,,,,,,55133,55135,,,146,79,39,2,,,,0,0,0,0,0,senior
takes x-ray boxes with him,3,43169,0,1,0,0,0,0,0,151636,1,151751,151848,,,,,,,151855,151918,2,,,2018_03_10,54996,55071,55128,,,,,,,55135,55158,,,162,75,57,23,,,,0,0,0,0,0,senior
,3,43169,0,0,0,0,0,1,1,151644,1,151712,151853,,,,,151855,151901,152110,152149,2,151942,152109,2018_03_10,55004,55032,55133,,,,,55135,55141,55270,55309,55182,55269,305,28,101,39,,6,87,0,0,0,1,1,regular
"WTMD twice, shoes",3,43169,0,0,0,0,0,1,0,151704,2,151727,151943,151944,,,,,,152018,152149,2,,,2018_03_10,55024,55047,55183,55184,,,,,,55218,55309,,,285,23,136,91,,,,1,0,0,0,0,regular
takes x-ray boxes with him,3,43169,0,1,0,0,0,0,1,151713,2,151827,151947,,,,,,,152029,152042,2,,,2018_03_10,55033,55107,55187,,,,,,,55229,55242,,,209,74,80,13,,,,0,0,0,0,0,senior
,3,43169,0,1,0,0,0,0,1,151721,2,151822,151954,,,,,,,152031,152041,2,,,2018_03_10,55041,55102,55194,,,,,,,55231,55241,,,200,61,92,10,,,,0,0,0,0,0,senior
,3,43169,0,0,0,0,0,1,1,151808,1,151902,152032,,,,,,,152043,152100,1,,,2018_03_10,55088,55142,55232,,,,,,,55243,55260,,,172,54,90,17,,,,0,0,0,0,0,regular
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,151841,2,152037,152044,,,,,,,152059,152149,2,,,2018_03_10,55121,55237,55244,,,,,,,55259,55309,,,188,116,7,50,,,,0,0,0,0,0,regular
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,151901,2,152052,152058,,,,,,,152108,152149,2,,,2018_03_10,55141,55252,55258,,,,,,,55268,55309,,,168,111,6,41,,,,0,0,0,0,0,regular
Cello,3,43169,0,0,0,1,0,0,1,151957,4,152153,152202,,,,,,,152216,152402,1,,,2018_03_10,55197,55313,55322,,,,,,,55336,55442,,,245,116,9,106,,,,0,0,0,0,0,young
#NAME?,3,43169,0,0,0,0,0,1,0,152053,2,152259,152305,,,,,,,152326,152432,2,,,2018_03_10,55253,55379,55385,,,,,,,55406,55472,,,219,126,6,66,,,,0,0,0,0,0,regular
Baggage reclaim outside queue,3,43169,0,0,0,0,0,1,0,152111,2,152327,152331,,,,,,,152343,152412,2,,,2018_03_10,55271,55407,55411,,,,,,,55423,55452,,,181,136,4,29,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,0,152217,3,152355,152412,,,,,,,152416,152509,1,,,2018_03_10,55337,55435,55452,,,,,,,55456,55509,,,172,98,17,53,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,1,152256,1,152423,152429,,,,,,,152524,152721,2,,,2018_03_10,55376,55463,55469,,,,,,,55524,55641,,,265,87,6,117,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,0,152340,2,152507,152516,,,,,,,152524,152723,2,,,2018_03_10,55420,55507,55516,,,,,,,55524,55643,,,223,87,9,119,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,0,152405,2,152622,152629,,,,,152756,152801,152821,153010,2,,,2018_03_10,55445,55582,55589,,,,,55676,55681,55701,55810,,,365,137,7,109,,5,,0,0,0,1,0,regular
,3,43169,0,0,0,0,0,1,0,152406,2,152625,152755,,,,,,,152800,153013,2,,,2018_03_10,55446,55585,55675,,,,,,,55680,55813,,,367,139,90,133,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,1,152509,2,152653,152759,,,,,,,152802,152838,1,,,2018_03_10,55509,55613,55679,,,,,,,55682,55718,,,209,104,66,36,,,,0,0,0,0,0,regular
,3,43169,0,1,0,0,0,0,1,152515,2,152654,152802,,,,,,,152811,152909,2,,,2018_03_10,55515,55614,55682,,,,,,,55691,55749,,,234,99,68,58,,,,0,0,0,0,0,senior
2x wtmd (shoes) 152829,3,43169,0,1,0,0,0,0,1,152634,2,152712,152806,152829,,,,,,152838,152909,2,,,2018_03_10,55594,55632,55686,55709,,,,,,55718,55749,,,155,38,54,31,,,,1,0,0,0,0,senior
,3,43169,0,0,0,0,0,1,0,152636,1,152809,152834,,,,,,,152842,153020,2,,,2018_03_10,55596,55689,55714,,,,,,,55722,55820,,,224,93,25,98,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,1,1,152703,2,152815,152847,,,,,,,152906,153012,2,,,2018_03_10,55623,55695,55727,,,,,,,55746,55812,,,189,72,32,66,,,,0,0,0,0,0,regular
2x wtmd check 153014,3,43169,0,0,0,0,0,1,1,152736,3,152905,153004,153014,,,,,,153021,153101,2,,,2018_03_10,55656,55745,55804,55814,,,,,,55821,55861,,,205,89,59,40,,,,1,0,0,0,0,regular
Wheels away from reclaim,3,43169,0,1,0,0,1,0,1,152736,0,152900,152911,,,152911,152950,,,153021,153021,2,,,2018_03_10,55656,55740,55751,,,55751,55790,,,55821,55821,,,165,84,11,0,39,,,0,0,1,0,0,senior
,3,43169,0,1,0,0,0,0,0,152835,2,152930,153006,,,,,,,153023,153200,1,,,2018_03_10,55715,55770,55806,,,,,,,55823,55920,,,205,55,36,97,,,,0,0,0,0,0,senior
etd baggage + tpasssneger; takes x-ray boxes with her,3,43169,0,1,0,0,0,0,0,152900,1,153042,153046,,,,,153134,153211,153211,153226,1,,,2018_03_10,55740,55842,55846,,,,,55894,55931,55931,55946,,,206,102,4,15,,37,,0,0,0,1,0,senior
,3,43169,1,0,0,0,0,1,1,152907,3,153018,153022,,,,,,,153033,153354,1,153113,153307,2018_03_10,55747,55818,55822,,,,,,,55833,56034,55873,55987,287,71,4,201,,,114,0,0,0,0,1,business
,3,43169,0,1,0,0,0,0,0,152921,2,153212,153214,,,,,,,153246,153414,3,,,2018_03_10,55761,55932,55934,,,,,,,55966,56054,,,293,171,2,88,,,,0,0,0,0,0,senior
,3,43169,0,1,0,0,0,0,0,152930,2,153227,153232,,,153245,153311,,,153316,153414,3,,,2018_03_10,55770,55947,55952,,,55965,55991,,,55996,56054,,,284,177,5,58,26,,,0,0,1,0,0,senior
,3,43169,0,1,0,0,0,0,1,153011,1,153222,153314,,,,,,,153317,153436,3,,,2018_03_10,55811,55942,55994,,,,,,,55997,56076,,,265,131,52,79,,,,0,0,0,0,0,senior
,3,43169,0,0,0,0,0,1,1,153056,2,153243,153317,,,,,,,153347,153501,1,,,2018_03_10,55856,55963,55997,,,,,,,56027,56101,,,245,107,34,74,,,,0,0,0,0,0,regular
,3,43169,0,1,0,0,0,1,1,153214,2,153311,153323,,,,,,,153401,153513,1,,,2018_03_10,55934,55991,56003,,,,,,,56041,56113,,,179,57,12,72,,,,0,0,0,0,0,senior
takes x-ray boxes with him,3,43169,0,0,0,1,0,0,1,153345,1,153418,153422,,,,,153428,153435,153442,153445,2,,,2018_03_10,56025,56058,56062,,,,,56068,56075,56082,56085,,,60,33,4,3,,7,,0,0,0,1,0,young
takes x-ray boxes with him,3,43169,0,0,0,1,0,0,1,153350,2,153424,153430,,,,,,,153449,153454,1,,,2018_03_10,56030,56064,56070,,,,,,,56089,56094,,,64,34,6,5,,,,0,0,0,0,0,young
takes x-ray boxes with him,3,43169,0,0,0,1,0,0,1,153352,1,153420,153428,,,,,,,153439,153442,2,,,2018_03_10,56032,56060,56068,,,,,,,56079,56082,,,50,28,8,3,,,,0,0,0,0,0,young
takes x-ray boxes with him,3,43169,0,0,0,0,0,1,1,153416,2,153515,153521,,,,,153529,153538,153543,153554,1,,,2018_03_10,56056,56115,56121,,,,,56129,56138,56143,56154,,,98,59,6,11,,9,,0,0,0,1,0,regular
"WTMD twice, shoes (3652)",3,43169,0,0,0,0,0,1,1,153505,3,153616,153624,153652,,,,,,153658,153759,1,,,2018_03_10,56105,56176,56184,56212,,,,,,56218,56279,,,174,71,8,61,,,,1,0,0,0,0,regular
,3,43169,0,0,0,1,0,0,1,153533,1,153642,153658,,,,,,,153713,153818,2,,,2018_03_10,56133,56202,56218,,,,,,,56233,56298,,,165,69,16,65,,,,0,0,0,0,0,young
,3,43169,0,0,0,1,0,0,1,153533,1,153703,153710,,,,,153717,153725,153730,153832,2,,,2018_03_10,56133,56223,56230,,,,,56237,56245,56250,56312,,,179,90,7,62,,8,,0,0,0,1,0,young
,3,43169,0,0,0,0,0,1,1,153713,2,153812,153818,,,,,,,153836,154142,1,,,2018_03_10,56233,56292,56298,,,,,,,56316,56502,,,269,59,6,186,,,,0,0,0,0,0,regular
,3,43169,0,0,0,0,0,0,0,153823,2,153913,153917,,,,,,,153934,154046,1,,,2018_03_10,56303,56353,56357,,,,,,,56374,56446,,,143,50,4,72,,,,0,0,0,0,0,unknown
,3,43169,1,0,0,0,0,1,0,153900,2,154000,154008,,,,,,150000,154019,154133,1,,,2018_03_10,56340,56400,56408,,,,,,54000,56419,56493,,,153,60,8,74,,,,0,0,0,0,0,business
,3,43169,0,1,0,0,0,0,1,154048,2,154138,154142,,,,,,,154200,154325,2,,,2018_03_10,56448,56498,56502,,,,,,,56520,56605,,,157,50,4,85,,,,0,0,0,0,0,senior
 2x wtmd (shoes) 154219,3,43169,0,1,0,0,0,0,0,154050,2,154138,154147,154219,,,,154227,154237,154242,154332,2,,,2018_03_10,56450,56498,56507,56539,,,,56547,56557,56562,56612,,,162,48,9,50,,10,,1,0,0,1,0,senior
Drinks water bottle,3,43169,0,0,0,0,0,1,0,154134,2,154233,154237,,,,,,,154302,154318,1,,,2018_03_10,56494,56553,56557,,,,,,,56582,56598,,,104,59,4,16,,,,0,0,0,0,0,regular
,3,43169,0,1,0,0,0,1,1,154237,1,154255,154304,,,,,,,154319,154606,2,154437,154521,2018_03_10,56557,56575,56584,,,,,,,56599,56766,56677,56721,209,18,9,167,,,44,0,0,0,0,1,senior
,3,43169,1,1,0,0,0,1,0,154248,2,154346,154349,,,,,,,154415,154612,2,,,2018_03_10,56568,56626,56629,,,,,,,56655,56772,,,204,58,3,117,,,,0,0,0,0,0,business
takes x-ray boxes with him,3,43169,0,1,0,0,0,0,1,154330,2,154410,154435,,,,,,,154442,154517,2,,,2018_03_10,56610,56650,56675,,,,,,,56682,56717,,,107,40,25,35,,,,0,0,0,0,0,senior
takes x-ray boxes with him,3,43169,0,1,0,0,0,0,1,154340,3,154449,154454,,,,,,,154511,154536,2,,,2018_03_10,56620,56689,56694,,,,,,,56711,56736,,,116,69,5,25,,,,0,0,0,0,0,senior
,3,43169,0,0,0,0,0,1,1,154553,2,154619,154633,,,,,,,154645,154719,2,,,2018_03_10,56753,56779,56793,,,,,,,56805,56839,,,86,26,14,34,,,,0,0,0,0,0,regular
